"가나","GH","아크라","서부 아프리카 대서양의 기니만 연안","227540.0"
"캄보디아","KH","프놈펜","인도차이나 반도 종남부","176520.0"
"캐나다","CA","오타와","미주대륙 북부","9093510.0"
"케냐","KE","나이로비","아프리카 동부해안","569140.0"
"케이맨제도","KY","조지타운","자메이카 북서부","240.0"
"코모로","KM","모로니","서부인도양","1861.0"
"코소보","XK","프리슈티나","남동유럽","10887.0"
"코스타리카","CR","산호세","카리브","51060.0"
"코트디부아르","CI","야무수크로","서부아프리카 대서양연안","318000.0"
"콜롬비아","CO","보고타","남미 북서부 위치","1109500.0"
"콩고공화국","CG","브라자빌","아프리카 중서부 대서양","341500.0"
"콩고민주공화국","CD","킨샤사","아프리카 중부내륙","2267050.0"
"쿠바","CU","아바나","플로리다주 남방 카리브해","104020.0"
"쿠웨이트","KW","쿠웨이트시티","아라비아반도 동북단","17820.0"
"쿡제도","CK","아바루아","남위 8~23도 서경 153~167도","240.0"
"크로아티아","HR","자그레브","유럽 아드리아해 동부해안","55960.0"
"키르기즈","KG","비슈케크","중앙아시아","191800.0"
"키리바시","KI","타라와","뉴질랜드 북방 적도상","810.0"
"타이완","TW","타이베이","동북아시아","36000.0"
"타지키스탄","TJ","두샨베","중앙아시아","138790.0"
"탄자니아","TZ","도도마","아프리카 남동부","885800.0"
"태국","TH","방콕","중국 남쪽","510890.0"
"터크스 케이커스 제도","TC","콕번타운","바하마군도의 일부","950.0"
"터키","TR","앙카라","아시아대륙 서부","769630.0"
"토고","TG","로메","중서부아프리카 대서양연안","54390.0"
"통가","TO","누쿠아로파","뉴질랜드 북방","720.0"
"투르크메니스탄","TM","아시가바트","중앙아시아","469930.0"
"투발루","TV","푸나푸티","뉴질랜드 북방 적도 부근","30.0"
"튀니지","TN","튀니스","북부 아프리카 중앙지중해 연안","155360.0"
"트리니다드토바고","TT","포트 오브 스페인","카리브해","5130.0"
"파나마","PA","파나마시티","중미","74370.0"
"파라과이","PY","아순시온","남미대륙 중심부의 내륙국","397300.0"
"파키스탄","PK","아슬라마바드","서남아시아","770880.0"
"파푸아뉴기니","PG","포트모르즈비","남태평양","452860.0"
"팔라우","PW","응게룰무드","필리핀 동남쪽","460.0"
"팔레스타인","PS","라말라","아라비아반도 북부","6020.0"
"페루","PE","리마","남미 서안","1280000.0"
"포르투갈","PT","리스본","남유럽 이베리아 반도","91605.0"
"폴란드","PL","바르샤바","유럽중동부","306190.0"
"프랑스","FR","파리","서구 중앙부","547556.0"
"프랑스령 기아나","GF","카예네","남미대륙 동북부해안","83846.0"
"프랑스령 폴리네시아","PF","파피테","7~26도, 서경 131~156도","3660.0"
"피지","FJ","수바","남태평양 호주 동북방","18270.0"
"핀란드","FI","헬싱키","북유럽","303910.0"
"필리핀","PH","메트로마닐라","남태평양 호주 동북방","298170.0"
"핏케언 섬","PN","아담타운","오세아니아","47.0"
"헝가리","HU","부다페스트","유럽중동부","90530.0"
"호주","AU","캔버라","남태평양","7.869202E7"
"홍콩","HK","null","중국남동부 해안","1050.0"
